LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
130000,1,1,2,27,0,0,-1,-1,-1,-1,6256.0747,2500.0,1319.2412,1299.3232,12080.326,2872.1052,408.3633,0.0,390.0,1000.0,1000.0,4799.9995,0
280000,2,1,1,26,-2,-2,-2,-2,-2,-2,326.0,333.15262,184.60753,398.21378,780.0,153.83041,699.87933,0.0,0.0,1676.9951,0.0,1000.0,0
50000,1,2,2,24,0,0,0,0,0,0,92458.67,105838.6,102701.984,78389.16,66538.16,75121.95,3199.5393,6890.357,3798.5884,3000.0,3000.0,1901.7297,0
50000,1,3,1,27,0,0,0,0,0,0,18049.662,25420.479,30031.04,34915.27,30396.168,22941.701,2420.8508,2033.5504,6000.0,603.20746,1446.3007,1246.6014,0
30000,2,1,2,35,-1,-1,-1,-1,-1,-1,0.0,0.0,81.02826,89.9993,322.25037,806.9723,0.0,1000.0,1000.0,0.0,1341.5815,0.0,0
80000,1,3,1,33,0,0,0,0,0,0,49015.45,56661.832,46083.12,56580.87,50159.824,27480.979,2233.2234,4333.6143,0.0,2601.1377,2000.0,735.58826,1
50000,2,2,1,40,0,0,0,0,0,0,42474.816,39652.39,30914.936,39020.4,38795.77,38133.38,3000.0,1600.9813,1500.0,2019.1348,1691.376,1063.384,0
200000,2,3,2,29,0,0,0,0,0,0,28057.43,19219.936,18274.035,19927.098,20091.123,22946.783,1655.8595,918.20605,4486.1245,1174.5653,1146.3044,513.47833,0
150000,1,1,2,27,0,0,0,0,0,0,86229.17,97822.7,108601.01,84487.47,92535.58,80985.66,2500.0,4036.5,4490.886,3701.2834,3293.121,3000.0,0
80000,1,1,1,25,-1,-1,0,0,0,0,11029.03,17447.488,12371.562,18646.45,8874.992,19828.875,3217.7063,3600.3684,316.0,5871.0664,3000.0,10931.733,1
90000,2,1,2,29,0,0,0,0,0,0,9871.996,9456.043,11762.544,7948.847,14203.972,10164.465,1682.1606,2000.0,1000.0,19.881996,760.68115,0.0,0
30000,2,1,2,29,0,0,0,0,0,-2,1354.728,1669.0967,6434.9688,11477.397,0.0,0.0,25.787909,2000.0,0.0,0.0,0.0,0.0,0
180000,1,1,2,28,0,0,0,0,0,0,60672.918,95380.95,139365.08,93125.83,70054.22,78951.17,2435.6748,8457.233,5482.8813,3000.0,3047.7297,208.35616,0
30000,2,2,1,26,2,2,2,0,0,0,177864.48,174076.86,145193.45,178993.75,154709.08,80175.016,7479.061,0.0,10000.0,3500.0,3000.0,366.04797,0
200000,2,1,2,35,-1,-1,-1,-1,-1,-1,5281.819,28818.424,9150.552,10208.277,12924.523,21622.775,39255.496,6725.1343,34646.574,40613.977,7643.423,12284.209,0
150000,1,1,2,27,0,0,0,0,0,0,154678.34,157197.67,177077.67,150568.66,167880.4,108824.05,6143.248,10281.286,5385.411,11435.676,7139.7007,5012.8813,0
50000,1,2,1,27,0,0,0,0,-1,-1,21746.084,30072.975,18630.988,9433.768,14199.465,9947.147,1541.5565,397.87372,417.99026,1756.8701,1000.0,844.80304,0
30000,1,1,2,35,-1,-1,-1,-1,-1,-1,4819.892,2500.0,3142.273,302.2453,0.0,166.9428,2100.0,6999.1885,806.152,700.0,2201.9153,1321.481,0
50000,1,2,1,29,0,0,0,0,0,0,35172.07,25544.398,17548.752,18012.613,19759.953,4857.6157,1399.7389,1750.3002,1300.0,900.0,0.0,0.0,0
80000,2,2,1,30,0,0,0,0,0,0,48526.87,70049.805,42938.934,77413.27,64376.11,42744.28,10000.0,0.0,3000.0,2500.0,3000.0,1000.0,0
200000,2,1,1,37,-2,-2,-2,-1,-2,-2,267.27982,4363.066,420.51114,740.19714,10209.949,9003.22,2200.0,0.0,2000.0,3201.0486,534.7222,1000.0,0
80000,2,2,2,26,2,2,2,0,0,0,78966.8,81114.88,79283.625,106423.95,78338.95,28446.771,4500.0,0.0,1006.51166,3527.352,2670.458,1082.4688,0
500000,2,1,2,37,-1,-1,-1,-1,0,-1,19529.197,18016.49,18585.42,26702.69,14545.285,29225.697,30017.178,10219.725,7034.3896,7271.962,15822.246,22711.098,0
80000,2,2,1,26,-1,-1,-1,-1,-1,-1,6681.7866,13512.939,8751.768,133.41367,8914.789,390.0,3887.3242,2600.0676,0.0,17186.768,0.0,5768.1636,0
80000,2,2,1,38,1,2,0,0,0,0,107560.62,78431.31,79802.93,73358.95,58028.91,72084.914,0.0,15641.64,2600.4412,3000.0,2091.3357,1376.4305,1
200000,2,2,2,30,0,0,0,0,-1,-1,50591.87,27488.926,34154.207,30975.541,7242.8975,11367.522,4031.6643,5945.3003,2251.2588,1500.0,12033.293,30416.045,0
20000,2,3,1,38,1,2,2,2,0,0,640.87555,315.2457,390.0,0.0,341.2261,4556.9,0.0,0.0,0.0,0.0,1000.0,0.0,1
50000,2,2,1,23,0,0,0,0,0,0,16323.646,29104.592,24006.604,21894.07,19217.227,20193.707,2000.0,2000.0,1404.1512,1211.5724,1500.0,414.0155,0
50000,1,3,2,23,0,0,0,2,2,0,25624.285,36157.7,26046.14,20726.6,46394.703,28703.441,4014.9336,3000.0,2000.0,2287.2,0.0,0.0,0
20000,2,2,2,29,2,2,0,2,2,2,24854.68,8571.39,18215.664,17081.285,12575.462,13188.436,0.0,5000.0,390.474,1500.0,0.0,0.0,1
30000,1,3,1,29,-1,-1,-1,-1,-1,-1,6232.2163,5830.3643,6989.068,9675.224,2557.2224,18634.193,1138.0851,0.0,4116.153,1138.3026,0.0,1031.0386,0
80000,2,2,1,23,0,0,0,0,0,0,35099.19,49318.438,32165.12,43814.953,45652.406,29951.686,2810.3538,1474.1766,2417.0066,2000.0,2000.0,1964.3878,0
50000,1,2,2,26,0,0,0,0,0,0,33888.207,28524.844,20826.594,19660.352,14720.807,22479.531,2000.0,2000.0,627.73334,2000.0,2000.0,2000.0,0
60000,2,2,1,24,-2,-2,-2,-2,-2,-2,1540.8125,113.74402,0.0,74.24891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50000,1,2,2,25,0,0,0,0,0,0,30506.666,44462.613,36911.918,25214.477,22808.557,29489.295,1955.6243,1900.0,502.9726,1758.579,1800.5107,1234.3225,0
50000,2,2,1,40,0,0,0,0,0,0,25501.572,25069.322,18423.244,16735.387,13391.326,26278.04,2126.1768,1500.0,1344.5125,1000.0,2000.0,1172.4174,0
80000,1,1,1,39,-1,-1,0,0,0,0,13505.144,10459.022,19597.49,43962.16,24851.215,29520.262,2951.4077,7111.582,7000.048,2003.6641,7804.4067,11608.544,0
30000,1,1,1,29,0,0,0,0,0,0,120081.61,138783.6,153041.94,132560.98,95490.164,100404.55,10236.436,13370.675,8003.9556,5000.0,10000.0,2471.5735,0
30000,2,1,2,39,-1,-1,-1,-1,0,0,3052.2732,3139.4727,1105.9169,1853.3556,1708.1195,7751.692,9740.59,1600.0,2500.0,889.48553,2000.0,5000.0,0
80000,2,1,2,26,-1,-1,-1,-1,-1,-1,2607.7056,1086.6929,8244.748,709.0314,390.0,3860.0413,2802.0618,4200.032,50.28977,1094.6152,2918.344,3840.978,0
50000,2,1,2,27,-2,-2,-2,-2,-2,-2,199.25261,0.0,0.0,902.8973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30000,2,2,1,38,0,0,0,0,0,0,51564.637,50524.39,46826.953,48320.16,50603.473,41057.027,3500.0,2340.1306,2518.7778,2013.1947,1822.874,1000.0,0
30000,2,1,2,24,-1,-1,-1,-1,-1,-2,774.0931,802.7812,449.17526,0.0,0.0,-2.7982144,326.40158,0.0,0.0,0.0,0.0,0.0,0
80000,2,2,1,40,0,0,0,0,0,0,48325.027,50379.805,53549.953,49804.723,34149.004,21998.266,4480.674,2995.8083,5000.0,833.2934,1602.2057,3181.4072,0
200000,2,1,2,30,0,0,0,0,0,0,56211.51,125727.35,123240.95,182779.77,147985.34,62164.65,18601.742,1500.0,2000.0,5013.5024,3000.0,5676.754,1
230000,1,1,1,27,0,0,0,0,-1,-1,177377.88,166520.9,156226.52,93039.94,86356.88,82140.11,9000.0,15100.1875,2000.0,45943.824,20930.04,7282.5903,0
80000,2,2,2,29,1,-2,-2,-2,-2,-2,0.0,-28.836262,-580.8135,-19.307688,-139.64258,-3.793165,0.0,0.0,0.0,0.0,0.0,0.0,0
50000,2,2,1,26,0,0,0,0,-2,-2,102708.83,32317.729,18120.865,2443.8806,0.0,0.0,1204.6263,1479.1938,0.0,0.0,0.0,0.0,0
30000,1,3,2,30,1,2,0,0,0,0,33745.98,16895.195,22822.367,18373.104,19826.967,16930.201,0.0,3656.2483,5130.478,0.0,0.0,0.0,1
80000,1,1,2,27,0,0,0,-1,-1,-1,43041.96,34063.37,1744.0234,4046.5903,1556.2983,829.7393,5000.0,0.0,1000.0,3000.0,1399.3584,4499.415,0
200000,2,2,2,24,0,0,0,0,0,0,48585.04,52701.01,62811.227,50279.43,60855.945,65734.016,2455.2632,2000.0,2500.0,1690.6008,2471.6216,1663.1312,0
30000,1,1,1,39,-1,-1,-1,-2,-2,-2,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20000,2,1,2,27,1,-2,-2,-2,2,2,0.0,0.0,92.11624,2185.0278,23616.877,35639.97,0.0,0.0,0.0,699.0201,0.0,0.0,1
200000,2,2,2,26,2,2,2,2,0,0,32810.797,14437.957,32683.465,38067.305,18976.783,12194.029,0.0,1261.1014,0.0,0.0,948.0003,3362.052,0
50000,1,2,1,37,0,0,0,0,0,0,88804.16,76693.9,116064.375,123321.03,84709.4,52908.375,2047.1072,9752.118,2000.0,769.4059,1033.5469,2880.0942,1
50000,2,2,1,23,0,0,2,2,0,0,6706.453,13907.046,18807.898,53667.14,15966.97,21015.035,5202.861,0.0,0.0,1000.0,2934.836,0.0,1
80000,1,3,1,44,-2,-2,-2,-2,-2,-2,3540.577,152.85187,0.0,0.0,0.0,2074.118,0.0,0.0,0.0,0.0,1000.0,248.2557,0
30000,2,2,2,38,2,2,0,0,0,0,72207.664,30862.152,30198.066,45730.758,30620.28,20946.604,11.132448,2986.7249,2500.0,2000.0,1772.6566,159.72919,1
80000,2,1,2,29,0,0,0,0,0,0,45481.805,48559.38,61429.047,54680.074,60004.316,88951.12,1696.5032,4000.0,2126.086,1220.3411,4000.0,2000.0,0
50000,2,3,1,23,2,2,2,2,-2,-2,5433.9175,3751.593,2404.0566,0.0,0.0,2264.858,1307.2303,0.0,0.0,0.0,2765.285,0.0,0
60000,1,2,1,34,0,0,0,0,0,0,108045.0,127617.52,135754.81,133738.67,115779.7,119978.99,5292.9365,5995.7153,5895.945,5999.7676,5527.02,3715.2341,0
30000,1,2,2,29,0,0,0,0,0,0,110876.43,82333.12,68634.76,31466.096,23764.625,38385.305,7439.8027,5224.0835,1900.3558,0.0,2300.4587,3200.145,0
30000,1,1,2,28,0,0,0,0,0,0,43270.574,21808.014,15972.604,12892.284,5082.733,2837.4214,1706.7189,2209.9915,1000.0,0.0,0.0,667.2507,0
200000,1,2,2,24,0,0,0,0,0,0,49940.273,74858.484,77987.82,55487.094,57109.523,57006.41,3104.3206,2394.3677,3000.0,2800.4802,2472.1892,981.75085,0
200000,1,2,2,28,-1,-1,-1,-1,-1,-1,7696.2603,6953.548,2497.059,935.53284,927.69025,389.66016,414.29053,1514.8085,396.06274,4200.98,2331.0374,1500.0,0
80000,2,1,1,24,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,390.45544,732.9343,1
170000,2,2,1,35,-1,-1,-1,-1,-1,-1,2981.715,2590.1135,4131.678,4024.1082,9675.248,8982.159,3000.0,7548.342,14276.611,12717.637,4000.0,2000.0,0
150000,2,2,2,30,-2,-2,-2,-2,-2,-2,2547.0945,757.059,0.0,390.0,674.63855,2116.612,1869.3506,0.0,0.0,2000.0,1500.0,5353.664,0
30000,2,3,1,26,0,0,0,0,0,0,136061.78,182951.22,199423.95,283379.2,190420.55,173588.4,12140.202,10088.701,20000.0,1783.1237,5000.0,2331.4841,1
50000,2,2,1,29,0,0,0,0,0,0,39633.77,27433.213,28941.545,29328.066,25782.18,15722.308,2998.9714,2900.4395,2000.0,1000.0,460.77826,564.47253,0
30000,1,1,2,27,-1,0,-1,-1,-1,-1,28539.674,14153.715,3863.16,946.27106,0.0,243.4403,2400.0,1524.2145,2000.0,298.4533,2690.3994,1000.0,0
50000,2,2,2,24,0,0,0,0,0,0,17607.676,17623.088,24790.111,19202.42,11905.919,17919.004,1000.0,1184.8947,1678.5308,830.43585,1428.8212,1336.181,0
90000,1,2,1,36,-1,-1,-1,-1,-1,-1,13996.961,1735.4302,10378.158,1204.926,3212.1023,9199.841,1813.6831,19982.184,3542.642,4413.392,10023.501,1901.8268,0
50000,2,2,2,23,0,0,0,0,0,0,24400.768,29629.438,18660.645,19570.906,20711.81,12253.867,1799.9951,1302.2546,1345.6193,500.0,952.3951,1967.4536,1
50000,2,2,2,24,0,0,0,0,0,0,24938.541,34530.195,20933.941,28281.732,24834.174,18446.768,1700.0,395.1584,1000.0,1500.0,1067.3126,900.8086,0
60000,2,2,1,23,0,0,0,0,0,0,106368.78,88373.85,78338.336,96360.11,79726.1,67756.36,5000.0,3975.665,5000.0,3000.0,3282.042,3225.453,0
30000,1,1,2,29,1,-2,-2,-2,-2,-2,0.0,0.0,456.73337,841.95306,3701.0002,2658.8894,0.0,3085.4268,0.0,500.0,2423.822,277.03168,0
