column,type,kl_divergence,js_divergence
BILL_AMT1,numeric,0.018518932017638177,0.07084564754193702
BILL_AMT2,numeric,0.020039125297781415,0.06836714175428951
BILL_AMT3,numeric,0.007556470730040926,0.046149322727866905
BILL_AMT4,numeric,0.03178241072369166,0.07962683820741501
BILL_AMT5,numeric,0.01392365852328857,0.06341185576662794
BILL_AMT6,numeric,0.02248093654432296,0.07163378663030237
PAY_AMT1,numeric,0.01690704185146743,0.06845570611585709
PAY_AMT2,numeric,0.014302410013995098,0.05975027120184241
PAY_AMT3,numeric,0.013635972383614654,0.06483074676858284
PAY_AMT4,numeric,0.019875941270530127,0.07492690539958811
PAY_AMT5,numeric,0.049927646207377205,0.11054457272309723
PAY_AMT6,numeric,0.02042661895922607,0.07268982656723112
LIMIT_BAL,categorical,3.9192112244608652,0.4388831316095605
SEX,categorical,3.5346962803189073e-06,0.001128995405165821
EDUCATION,categorical,0.4241273987044927,0.08890517042910569
MARRIAGE,categorical,0.346313512058539,0.0795768829414546
AGE,categorical,2.124303556814321,0.38145103285022924
PAY_0,categorical,0.42087644146480163,0.09148319673743135
PAY_2,categorical,0.4627546480672449,0.09375193696048394
PAY_3,categorical,0.35264854046106764,0.08271332973210008
PAY_4,categorical,0.311315454311149,0.07732974693614238
PAY_5,categorical,0.30479862431526106,0.07763985966530845
PAY_6,categorical,0.2789378007985327,0.07681692295584555
default,categorical,0.001900916363337203,0.02598845951026083
